FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
F High Low,POINT (-73.98659181365889 40.60753207315604),1589,Out in Open,02/10/2018 12:00:00 AM +0000,no,B100,Seth Low Playground/ Bealin Square,B,2,100038957,B100-DF0647,B-11,B100,"F High Low, Out in Open",Active
C,POINT (-73.96862765692859 40.7480871896291),1921,In Playground,02/22/2018 12:00:00 AM +0000,no,M158,Robert Moses Playground,M,1,100039303,M158-DF0068,M-06,M158,"C, In Playground",Active
D,POINT (-74.0003631604654 40.750036026114756),2253,"Under Tree, Near Ballfield, Just Outside Playground",02/27/2018 12:00:00 AM +0000,yes,M011,Chelsea Park,M,1,100039632,M011-DF0209,M-04,M011,"D, Under Tree, Near Ballfield, Just Outside Playground",Active
D,POINT (-73.97290101781864 40.72386196549101),2585,"Just Outside Playground, Near Ballfield",04/04/2018 12:00:00 AM +0000,no,M144,John V. Lindsay East River Park,M,1,100039936,M144-DF0392,M-03,M144,"D, Just Outside Playground, Near Ballfield",Active
C,POINT (-73.94639259466328 40.69933443616386),2917,"In Shade, In Playground",05/29/2018 12:00:00 AM +0000,,B302,Charlie's Place,B,1,100040304,B302-DF0897,B-03,B302,"C, In Shade, In Playground",Active
E Wheelchair,POINT (-73.92412001948213 40.703148631662614),23,Out in Open,01/11/2018 12:00:00 AM +0000,yes,B016,Maria Hernandez Park,B,1,100037411,B016-DF0013,B-04,B016,"E Wheelchair, Out in Open",Active
CS Concrete,POINT (-73.83541216458211 40.70989104598132),355,Just Outside Playground,01/22/2018 12:00:00 AM +0000,no,Q015,Forest Park,Q,1,100037746,Q015-DF0001,Q-16,Q015,"CS Concrete, Just Outside Playground",Active
C,POINT (-73.82189029787115 40.749009160447415),687,Out in Open,01/26/2018 12:00:00 AM +0000,no,Q300,Kissena Corridor Park,Q,1,100038044,Q300-DF0097,Q-07,Q300,"C, Out in Open",Active
A,POINT (-73.85043591195084 40.74628271582561),902,Under Tree,01/30/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038302,Q099-DF0131,Q-15,Q099,"A, Under Tree",Active
D,POINT (-73.75035291482422 40.594116304422464),1234,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q162J,Beach 17 Playground,Q,1,100038687,Q162J-DF0356,Q-14,Q162J,"D, Out in Open",Active
C,POINT (-74.19801006044196 40.5320604857313),1566,Just Outside Playground,02/09/2018 12:00:00 AM +0000,no,R065,Richmond Parkway,R,1,100038899,R065-DF0087,R-02,R065,"C, Just Outside Playground",Active
C,POINT (-74.01152114448477 40.630582530228764),1898,In Playground,02/15/2018 12:00:00 AM +0000,no,B052,Leif Ericson Park,B,1,100039289,B052-DF0762,B-10,B052,"C, In Playground",Active
A,POINT (-73.92149830053333 40.87145657354482),2230,Near Ballfield,02/27/2018 12:00:00 AM +0000,yes,M042,Inwood Hill Park,M,1,100039682,M042-DF0188,M-12,M042,"A, Near Ballfield",Active
C,POINT (-73.97478960620937 40.7174350715035),2562,"Under Tree, Near Ballfield",04/04/2018 12:00:00 AM +0000,no,M144,John V. Lindsay East River Park,M,1,100039895,M144-DF0369,M-03,M144,"C, Under Tree, Near Ballfield",Active
C,POINT (-73.98647089425904 40.660201255822955),2894,In Shade,05/29/2018 12:00:00 AM +0000,,B255G,Butterfly Gardens,B,1,100040265,B255G-DF0895,B-07,B255G,"C, In Shade",Active
C,POINT (-73.89967168190799 40.66257799498549),46,In Playground,01/12/2018 12:00:00 AM +0000,no,B107,Lion's Pride Playground,B,1,100037421,B107-DF0036,B-05,B107,"C, In Playground",Active
A,POINT (-73.95910814569388 40.73561179541555),215,"In Playground, Under Tree",01/18/2018 12:00:00 AM +0000,no,B043,Greenpoint Playground,B,1,100037662,B043-DF0205,B-01,B043,"A, In Playground, Under Tree",Active
A,POINT (-73.97152639520957 40.6660594118767),378,Out in Open,01/22/2018 12:00:00 AM +0000,no,B073,Prospect Park,B,1,100037701,B073-DF0304,B-19,B073,"A, Out in Open",Active
A,POINT (-73.7941909938004 40.8624767457428),547,Out in Open,01/25/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037894,X039-DF0083,X-15,X039,"A, Out in Open",Active
D,POINT (-73.95984131674064 40.710527932663624),710,"In Playground, Under Tree",01/26/2018 12:00:00 AM +0000,no,B167,La Guardia Playground,B,1,100038115,B167-DF0482,B-01,B167,"D, In Playground, Under Tree",Active
E,POINT (-73.95895649291961 40.57526977895059),879,Out in Open,01/29/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038259,B169-DF0549,B-13,B169,"E, Out in Open",Active
C,POINT (-73.9803807041983 40.711203244737106),2539,"Under Tree, Near Ballfield, Just Outside Playground",03/29/2018 12:00:00 AM +0000,no,M017,Corlears Hook Park,M,1,100039892,M017-DF0346,M-03,M017,"C, Under Tree, Near Ballfield, Just Outside Playground",Active
D,POINT (-73.76275009986881 40.59254717374473),1042,In Shade,02/01/2018 12:00:00 AM +0000,no,Q162H,Beach 30th Street Playground,Q,1,100038398,Q162H-DF0194,Q-14,Q162H,"D, In Shade",Active
A,POINT (-73.87824711127223 40.89593290170336),1211,Near Ballfield,02/01/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,1,100038666,X092-DF0227,X-13,X092,"A, Near Ballfield",Active
A,POINT (-73.91959306528246 40.780270317271665),1374,"Out in Open, Under Tree, In Shade",02/03/2018 12:00:00 AM +0000,no,Q004,Astoria Park,Q,1,100038726,Q004-DF0463,Q-01,Q004,"A, Out in Open, Under Tree, In Shade",Active
D,POINT (-74.06301212593604 40.59243802980647),1543,Just Outside Playground,02/08/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038948,R046-DF0076,R-02B,R046,"D, Just Outside Playground",Active
A,POINT (-74.01715711986482 40.62755186432433),1875,Out in Open,02/15/2018 12:00:00 AM +0000,no,B060,McKinley Park,B,1,100039226,B060-DF0755,B-10,B060,"A, Out in Open",Active
D,POINT (-73.8237465260574 40.78279288380388),2207,In Playground,02/27/2018 12:00:00 AM +0000,no,Q089B,Harvey Park,Q,1,100039668,Q089B-DF0657,Q-07,Q089B,"D, In Playground",Active
C,POINT (-73.86301305962124 40.6756201057255),69,In Playground,01/12/2018 12:00:00 AM +0000,no,B283,Belmont Playground,B,1,100037466,B283-DF0059,B-05,B283,"C, In Playground",Active
C,POINT (-73.8875575916527 40.67064430231672),192,"Out in Open, Near Ballfield",01/16/2018 12:00:00 AM +0000,no,B419,Sutter Ballfields,B,1,100037496,B419-DF0182,B-05,B419,"C, Out in Open, Near Ballfield",Active
B,POINT (-73.97533594931137 40.69064605174565),401,Out in Open,01/22/2018 12:00:00 AM +0000,no,B032,Fort Greene Park,B,1,100037817,B032-DF0323,B-02,B032,"B, Out in Open",Active
C,POINT (-73.92349973602167 40.833089271617006),524,Near Ballfield,01/24/2018 12:00:00 AM +0000,yes,X034,Mullaly Park,X,1,100037959,X034-DF0064,X-04,X034,"C, Near Ballfield",Active
D,POINT (-73.92548853149675 40.666721231198075),733,Under Tree,01/26/2018 12:00:00 AM +0000,yes,B054,Lincoln Terrace / Arthur S. Somers Park,B,1,100038157,B054-DF0495,B-08,B054,"D, Under Tree",Active
A,POINT (-74.00463996804507 40.65596669099067),856,In Playground,01/29/2018 12:00:00 AM +0000,yes,B210B,D'Emic Playground,B,1,100038250,B210B-DF0530,B-07,B210B,"A, In Playground",Active
A,POINT (-73.84708768493677 40.74762631636178),1065,Under Tree,02/01/2018 12:00:00 AM +0000,no,Q099,Flushing Meadows Corona Park,Q,1,100038459,Q099-DF0214,Q-15,Q099,"A, Under Tree",Active
C,POINT (-73.78251681225879 40.67789881975598),1188,"Out in Open, Under Tree",02/01/2018 12:00:00 AM +0000,no,Q005,Baisley Pond Park,Q,1,100038552,Q005-DF0319,Q-12,Q005,"C, Out in Open, Under Tree",Active
A,POINT (-73.78533068480898 40.70388754443373),1397,Out in Open,02/04/2018 12:00:00 AM +0000,no,Q121,Detective Keith L Williams Park,Q,1,100038766,Q121-DF0483,Q-12,Q121,"A, Out in Open",Active
A,POINT (-74.09837441506136 40.57485204625707),1520,In Playground,02/07/2018 12:00:00 AM +0000,yes,R038,Midland Playground,R,1,100038928,R038-DF0060,R-02B,R038,"A, In Playground",Active
A,POINT (-74.0309828990796 40.63981947775261),1729,Just Outside Playground,02/12/2018 12:00:00 AM +0000,no,B066,Owl's Head Park,B,1,100039112,B066-DF0715,B-10,B066,"A, Just Outside Playground",Active
Other,POINT (-74.00193075025685 40.75215623616355),2061,Out in Open,02/21/2018 12:00:00 AM +0000,yes,M360,The High Line,M,1,100039459,M360-DF0120,M-16,M360,"Other, Out in Open",Active
E Wheelchair,POINT (-73.91747550497843 40.640750612406656),501,"Under Tree, In Shade, In Playground",01/23/2018 12:00:00 AM +0000,yes,B352,Curtis Playground,B,1,100037917,B352-DF0394,B-18,B352,"E Wheelchair, Under Tree, In Shade, In Playground",Active
C,POINT (-73.85288308299175 40.83895912327039),756,"In Playground, In Shade, Under Tree",01/27/2018 12:00:00 AM +0000,no,X177,Castle Hill Playground,X,1,100038093,X177-DF0131,X-09,X177,"C, In Playground, In Shade, Under Tree",Active
C,POINT (-74.16265120163189 40.53706901327814),1420,In Playground,02/05/2018 12:00:00 AM +0000,no,R090,Lieutenant John H. Martinson Playground,R,1,100038798,R090-DF0014,R-03,R090,"C, In Playground",Active
A,POINT (-73.93161769542503 40.87045180652843),2084,Near Ballfield,02/22/2018 12:00:00 AM +0000,no,M042,Inwood Hill Park,M,1,100039408,M042-DF0126,M-12,M042,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.77154862306001 40.77098172368239),2748,In Playground,05/01/2018 12:00:00 AM +0000,no,Q012,Crocheron Park,Q,1,100040142,Q012-DF0748,Q-11,Q012,"E Wheelchair, In Playground",Active
A,POINT (-73.90406782602015 40.90283441615568),3086,,11/30/1899 12:00:00 AM +0000,,X152,Vinmont Veteran Park,X,1,100040404,X152-DF0474,X-08,X152,A,Active
A,POINT (-73.77180194148158 40.73529572895759),1443,"Near Ballfield, Out in Open",02/06/2018 12:00:00 AM +0000,no,Q021,Cunningham Park,Q,1,100038833,Q021-DF0501,Q-08,Q021,"A, Near Ballfield, Out in Open",Active
A,POINT (-73.95497355338944 40.72177137196247),2107,Near Ballfield,02/23/2018 12:00:00 AM +0000,yes,B058,McCarren Park,B,1,100039549,B058-DF0798,B-01,B058,"A, Near Ballfield",Active
A,POINT (-73.93599229195567 40.82899114017403),2771,"Near Ballfield, Just Outside Playground",05/09/2018 12:00:00 AM +0000,yes,M216,Holcombe Rucker Park,M,1,100040131,M216-DF0522,M-10,M216,"A, Near Ballfield, Just Outside Playground",Active
C,POINT (-73.93803593999998 40.63781760809363),209,"Out in Open, Near Ballfield",01/17/2018 12:00:00 AM +0000,no,B218,Paerdegat Park,B,1,100037680,B218-DF0199,B-17,B218,"C, Out in Open, Near Ballfield",Active
Other,POINT (-74.11070229141347 40.56168689770271),1048,Near Ballfield,02/01/2018 12:00:00 AM +0000,no,R026,Dugan Playground,R,1,100038425,R026-DF0010,R-03,R026,"Other, Near Ballfield",Active
E Wheelchair,POINT (-73.94567451098447 40.59200095278448),1712,Near Ballfield,02/12/2018 12:00:00 AM +0000,no,B109,Bill Brown Playground,B,1,100039095,B109-DF0702,B-15,B109,"E Wheelchair, Near Ballfield",Active
D,POINT (-73.94180667072594 40.821451442992434),2130,"In Shade, In Playground",02/24/2018 12:00:00 AM +0000,yes,M245,Renaissance Playground,M,1,100039558,M245-DF0128,M-10,M245,"D, In Shade, In Playground",Active
A,POINT (-73.7839064048872 40.76053889250834),2376,In Playground,03/02/2018 12:00:00 AM +0000,yes,Q381,Francis Lewis Playground,Q,1,100039751,Q381-DF0718,Q-11,Q381,"A, In Playground",Active
A,POINT (-73.93899043242507 40.81370224138313),2794,"In Playground, Near Ballfield, Under Tree",05/09/2018 12:00:00 AM +0000,yes,M217,Howard Bennett Playground,M,1,100040176,M217-DF0545,M-10,M217,"A, In Playground, Near Ballfield, Under Tree",Active
CS Concrete,POINT (-73.89261259883682 40.9009251540253),3040,In Shade,06/08/2018 12:00:00 AM +0000,,X092,Van Cortlandt Park,X,1,100040391,X092-DF0453,X-13,X092,"CS Concrete, In Shade",Active
E Wheelchair Dog,POINT (-74.03496512264346 40.64019994141609),1735,Out in Open,02/12/2018 12:00:00 AM +0000,no,B066,Owl's Head Park,B,1,100039116,B066-DF0721,B-10,B066,"E Wheelchair Dog, Out in Open",Active
Trough High Low,POINT (-73.87217561885215 40.817607924568215),2276,Near Ballfield,02/28/2018 12:00:00 AM +0000,no,X118,Soundview Park,X,2,100039654,X118-DF0415,X-09,X118,"Trough High Low, Near Ballfield",Active
D,POINT (-73.95864159324488 40.7594905662151),2399,Out in Open,03/03/2018 12:00:00 AM +0000,yes,M108Q,Twenty-Four Sycamores Park,M,1,100039747,M108Q-DF0264,M-08,M108Q,"D, Out in Open",Active
A,POINT (-73.77493947577639 40.67444019411596),2817,Near Ballfield,05/11/2018 12:00:00 AM +0000,no,Q413,Rochdale Park,Q,1,100040284,Q413-DF0780,Q-12,Q413,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.94294054576132 40.576762350719676),2940,Out in Open,02/01/2018 12:00:00 AM +0000,yes,B251,Manhattan Beach Park,B,1,100040334,B251-DF0918,B-15,B251,"E Wheelchair, Out in Open",Active
E Wheelchair,POINT (-73.95740049230612 40.79302091624471),3063,"Near Ballfield, Out in Open",06/12/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040412,M010-DF0646,M-13,M010,"E Wheelchair, Near Ballfield, Out in Open",Active
A,POINT (-73.81699036586781 40.775223389180425),670,"Out in Open, Near Ballfield",01/26/2018 12:00:00 AM +0000,no,Q086,Flushing Fields,Q,1,100038042,Q086-DF0081,Q-07,Q086,"A, Out in Open, Near Ballfield",Active
D,POINT (-73.75588163676494 40.686115194728565),919,Under Tree,01/30/2018 12:00:00 AM +0000,no,Q330,Locust Manor Playground,Q,1,100038313,Q330-DF0137,Q-12,Q330,"D, Under Tree",Active
A,POINT (-73.87347356972406 40.71018877411146),1002,In Playground,01/31/2018 12:00:00 AM +0000,yes,Q101,Middle Village Playground,Q,1,100038403,Q101-DF0166,Q-05,Q101,"A, In Playground",Active
C,POINT (-73.85495079349782 40.756466869675336),1251,Near Ballfield,02/02/2018 12:00:00 AM +0000,no,Q410,Hinton Park,Q,1,100038682,Q410-DF0373,Q-03,Q410,"C, Near Ballfield",Active
C,POINT (-73.85541472484225 40.74364991549613),1998,Out in Open,02/19/2018 12:00:00 AM +0000,,Q029,William F Moore Park,Q,1,100039312,Q029-DF0586,Q-04,Q029,"C, Out in Open",Active
A,POINT (-73.8539163386334 40.90227219157187),232,Out in Open,01/18/2018 12:00:00 AM +0000,yes,X188,Wakefield Playground,X,1,100037605,X188-DF0004,X-12,X188,"A, Out in Open",Active
D,POINT (-73.96342908242245 40.660662698291695),361,In Playground,01/22/2018 12:00:00 AM +0000,,B073,Prospect Park,B,1,100037748,B073-DF0287,B-19,B073,"D, In Playground",Active
A,POINT (-73.79034284743894 40.86971121697975),564,Under Tree,01/25/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037941,X039-DF0099,X-15,X039,"A, Under Tree",Active
D,POINT (-73.88123879630922 40.89001422371831),1357,"Out in Open, Under Tree",02/03/2018 12:00:00 AM +0000,no,X092,Van Cortlandt Park,X,1,100038728,X092-DF0256,X-13,X092,"D, Out in Open, Under Tree",Active
A,POINT (-73.9577008144543 40.597019272962356),1689,Out in Open,02/12/2018 12:00:00 AM +0000,no,B197,Mellett Playground,B,1,100039011,B197-DF0685,B-15,B197,"A, Out in Open",Active
C,POINT (-73.95592224556765 40.81533402236661),2685,In Playground,04/23/2018 12:00:00 AM +0000,no,M190,Sheltering Arms Playground,M,1,100040056,M190-DF0488,M-09,M190,"C, In Playground",Active
C,POINT (-73.89471522834255 40.8443337338669),965,"In Playground, Under Tree",02/13/2018 12:00:00 AM +0000,no,X010A,Tremont Park,X,1,100038356,X010A-DF0212,X-06,X010A,"C, In Playground, Under Tree",Active
E Wheelchair,POINT (-73.88287559764319 40.719661321328715),1297,Near Ballfield,02/02/2018 12:00:00 AM +0000,no,Q102,Juniper Valley Park,Q,1,100038676,Q102-DF0407,Q-05,Q102,"E Wheelchair, Near Ballfield",Active
A,POINT (-73.74202930676597 40.66279275709811),2293,Out in Open,02/28/2018 12:00:00 AM +0000,no,Q008,Brookville Park,Q,1,100039616,Q008-DF0683,Q-13,Q008,"A, Out in Open",Active
A,POINT (-73.99409378515034 40.711273537084736),2625,Near Ballfield,04/06/2018 12:00:00 AM +0000,yes,M019,Coleman Playground,M,1,100040068,M019-DF0432,M-03,M019,"A, Near Ballfield",Active
A,POINT (-73.99492272431905 40.680954367256135),278,In Playground,01/19/2018 12:00:00 AM +0000,no,B019,Carroll Park,B,1,100037600,B019-DF0242,B-06,B019,"A, In Playground",Active
A,POINT (-73.81339927669553 40.82337666521684),315,"Near Ballfield, Out in Open",01/20/2018 12:00:00 AM +0000,yes,X191A,Bicentennial Veterans Memorial Park,X,1,100037762,X191A-DF0034,X-10,X191A,"A, Near Ballfield, Out in Open",Active
C,POINT (-73.98134396621283 40.68686719475676),610,"In Playground, Out in Open",01/25/2018 12:00:00 AM +0000,no,B137,Sixteen Sycamores Playground,B,1,100038014,B137-DF0438,B-02,B137,"C, In Playground, Out in Open",Active
C,POINT (-73.90755652017631 40.83190697157351),1606,"In Shade, Under Tree",02/11/2018 12:00:00 AM +0000,no,X206,Morgan Playground,X,1,100039032,X206-DF0291,X-03,X206,"C, In Shade, Under Tree",Active
Other,POINT (-74.09293105052043 40.6258156869087),1938,Under Tree,02/16/2018 12:00:00 AM +0000,no,R022,Silver Lake Park,R,1,100039324,R022-DF0149,R-01,R022,"Other, Under Tree",Active
D,POINT (-73.88656429166319 40.6557552253083),169,Under Tree,01/15/2018 12:00:00 AM +0000,no,B345,Ethan Allen Playground,B,1,100037504,B345-DF0159,B-05,B345,"D, Under Tree",Active
E Wheelchair,POINT (-73.96541673845005 40.65159403294468),418,"In Playground, Out in Open",01/22/2018 12:00:00 AM +0000,yes,B068,Parade Ground,B,1,100037877,B068-DF0338,B-14,B068,"E Wheelchair, In Playground, Out in Open",Active
A,POINT (-73.96642667225402 40.65189496271986),424,"Out in Open, Near Ballfield",01/22/2018 12:00:00 AM +0000,no,B068,Parade Ground,B,1,100037859,B068-DF0344,B-14,B068,"A, Out in Open, Near Ballfield",Active
D,POINT (-74.08417350961426 40.574144166349086),1503,In Playground,02/07/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038932,R046-DF0045,R-02,R046,"D, In Playground",Active
D,POINT (-73.88164445481642 40.84377971338112),1752,Out in Open,02/13/2018 12:00:00 AM +0000,yes,X266,Vidalia Park,X,1,100039110,X266-DF0350,X-06,X266,"D, Out in Open",Active
A,POINT (-74.03082385409537 40.63938498874216),2831,In Playground,05/15/2018 12:00:00 AM +0000,no,B066,Owl's Head Park,B,1,100040203,B066-DF0878,B-10,B066,"A, In Playground",Active
A,POINT (-73.8621255159567 40.834144704171955),3080,,11/30/1899 12:00:00 AM +0000,,X148L,Virginia Playground,X,1,100040406,X148L-DF0468,X-09,X148L,A,Active
A,POINT (-73.91030994309541 40.810344772950664),816,"Out in Open, In Playground",01/28/2018 12:00:00 AM +0000,yes,X045,St. Mary's Park,X,1,100038225,X045-DF0174,X-01,X045,"A, Out in Open, In Playground",Active
D,POINT (-73.83875370361937 40.744821073391776),1105,Out in Open,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038499,Q099-DF0254,Q-15,Q099,"D, Out in Open",Active
E Wheelchair,POINT (-73.99004689480086 40.694145048005225),2144,Out in Open,02/25/2018 12:00:00 AM +0000,yes,B113C,Korean War Veterans Plaza,B,1,100039590,B113C-DF0802,B-02,B113C,"E Wheelchair, Out in Open",Active
Bottle Filler High Low,POINT (-73.93755297157146 40.60686686955961),2439,Near Ballfield,03/06/2018 12:00:00 AM +0000,no,B057,Marine Park,B,2,100039816,B057-DF0838,B-18,B057,"Bottle Filler High Low, Near Ballfield",Active
F,POINT (-73.92176540804532 40.74726043475831),2980,"Under Tree, Just Outside Playground",06/06/2018 12:00:00 AM +0000,yes,Q340,Torsney Playground,Q,1,100040364,Q340-DF0806,Q-02,Q340,"F, Under Tree, Just Outside Playground",Active
E Wheelchair,POINT (-73.99765615667471 40.73031601946951),2044,Under Tree,02/21/2018 12:00:00 AM +0000,yes,M098,Washington Square Park,M,1,100039466,M098-DF0106,M-02,M098,"E Wheelchair, Under Tree",Active
E Wheelchair,POINT (-73.97548830367985 40.77616189874956),2877,"Under Tree, Out in Open, In Shade",06/13/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040259,M010-DF0587,M-13,M010,"E Wheelchair, Under Tree, Out in Open, In Shade",Active
Pedestal,POINT (-73.91592932001524 40.792732583740595),2190,"Out in Open, Near Ballfield",02/26/2018 12:00:00 AM +0000,no,M104,Randall's Island Park,M,1,100039517,M104-DF0164,M-11R,M104,"Pedestal, Out in Open, Near Ballfield",Active
Bottle Filler,POINT (-73.94160240562599 40.79701195383356),2731,"Near Ballfield, Just Outside Playground",05/01/2018 12:00:00 AM +0000,yes,M111,James Weldon Johnson Playground,M,1,100040112,M111-DF0507,M-11,M111,"Bottle Filler, Near Ballfield, Just Outside Playground",Active
C,POINT (-73.85509169909254 40.760257849947095),3518,Under tree,11/06/2018 12:00:00 AM +0000,No,Q084A,Grand Central Parkway Extension,Q,0,,Q084A-DF0831,Q-03,Q084A,"C, Under tree",Active
A,POINT (-74.08219502316028 40.574736377490574),1506,Near Ballfield,02/07/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038910,R046-DF0048,R-02,R046,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.97944009542248 40.791563817459426),1838,"Out in Open, Under Tree",02/14/2018 12:00:00 AM +0000,yes,M071,Riverside Park,M,1,100039202,M071-DF0027,M-14,M071,"E Wheelchair, Out in Open, Under Tree",Active
A,POINT (-74.0171161758236 40.60619700135132),2004,Near Ballfield,02/19/2018 12:00:00 AM +0000,no,B028,Dyker Beach Park,B,1,100039447,B028-DF0769,B-10,B028,"A, Near Ballfield",Active
D,POINT (-73.99327813311575 40.768385164897815),2336,Near Ballfield,03/01/2018 12:00:00 AM +0000,no,M022,De Witt Clinton Park,M,1,100039726,M022-DF0236,M-04,M022,"D, Near Ballfield",Active
Bottle Filler Fountain,POINT (-73.976948164817 40.66139182547216),2502,"Out in Open, Near Ballfield",03/14/2018 12:00:00 AM +0000,yes,B073,Prospect Park,B,1,100039906,B073-DF0849,B-19,B073,"Bottle Filler Fountain, Out in Open, Near Ballfield",Active
A,POINT (-73.89458858001399 40.837264037108845),3000,Out in Open,06/07/2018 12:00:00 AM +0000,,X010,Crotona Park,X,1,100040380,X010-DF0445,X-03,X010,"A, Out in Open",Active
A,POINT (-73.74720960593241 40.74187866097597),2359,Out in Open,03/02/2018 12:00:00 AM +0000,no,Q001,Alley Pond Park,Q,1,100039771,Q001-DF0701,Q-07A,Q001,"A, Out in Open",Active
Other,POINT (-73.97379949860614 40.76911733151658),2857,"Under Tree, In Shade, Out in Open",05/17/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100040201,M010-DF0569,M-13,M010,"Other, Under Tree, In Shade, Out in Open",Active
A,POINT (-73.90618328412984 40.655666353387566),132,"Under Tree, Near Ballfield, In Shade",01/15/2018 12:00:00 AM +0000,yes,B343,Osborn Playground,B,1,100037505,B343-DF0122,B-16,B343,"A, Under Tree, Near Ballfield, In Shade",Active
C,POINT (-73.85610200061454 40.70165017959882),464,Just Outside Playground,01/23/2018 12:00:00 AM +0000,yes,Q015,Forest Park,Q,1,100037841,Q015-DF0020,Q-16,Q015,"C, Just Outside Playground",Active
F High Low Dog,POINT (-73.87364841752691 40.8270554067748),793,"In Playground, Near Ballfield",01/28/2018 12:00:00 AM +0000,yes,X004,Bronx River Parkway,X,2,100038148,X004-DF0151,X-09,X004,"F High Low Dog, In Playground, Near Ballfield",Active
A,POINT (-73.82139912223231 40.71216436215226),1128,In Playground,02/01/2018 12:00:00 AM +0000,no,Q220G,Hoover - Manton Playgrounds,Q,1,100038563,Q220G-DF0275,Q-08,Q220G,"A, In Playground",Active
C,POINT (-73.91204602972445 40.710535295152155),1457,Near Ballfield,02/06/2018 12:00:00 AM +0000,no,Q002,Grover Cleveland Playground,Q,1,100038857,Q002-DF0515,Q-05,Q002,"C, Near Ballfield",Active
C,POINT (-73.77116817986219 40.75706196853995),2124,In Playground,02/23/2018 12:00:00 AM +0000,yes,Q364,Marie Curie Park,Q,1,100039544,Q364-DF0623,Q-11,Q364,"C, In Playground",Active
C,POINT (-73.99604941360941 40.571620731387625),438,"Under Tree, In Shade, In Playground",01/22/2018 12:00:00 AM +0000,no,B268,Nautilus Playground,B,1,100037816,B268-DF0353,B-13,B268,"C, Under Tree, In Shade, In Playground",Active
C,POINT (-73.79396963623299 40.76585116609915),1483,"Under Tree, In Playground",02/06/2018 12:00:00 AM +0000,no,Q397,Auburndale Playground,Q,1,100038873,Q397-DF0535,Q-07,Q397,"C, Under Tree, In Playground",Active
A,POINT (-73.8215463787203 40.7463531106793),2147,"Under Tree, In Shade, In Playground",02/26/2018 12:00:00 AM +0000,yes,Q300,Kissena Corridor Park,Q,1,100039567,Q300-DF0630,Q-07,Q300,"A, Under Tree, In Shade, In Playground",Active
Trough,POINT (-73.99084611065203 40.728739273506626),2479,Out in Open,03/12/2018 12:00:00 AM +0000,no,M016,Cooper Triangle,M,1,100039793,M016-DF0302,M-03,M016,"Trough, Out in Open",Active
D,POINT (-73.94917457108089 40.70243757356385),507,"Out in Open, In Playground",02/22/2018 12:00:00 AM +0000,no,B358,De Hostos Playground,B,1,100037909,B358-DF0400,B-01,B358,"D, Out in Open, In Playground",Active
D,POINT (-73.81730890854168 40.77427514457948),673,Near Ballfield,01/26/2018 12:00:00 AM +0000,,Q086,Flushing Fields,Q,1,100038037,Q086-DF0084,Q-07,Q086,"D, Near Ballfield",Active
D,POINT (-73.92522846327041 40.77695798776511),750,"Near Ballfield, Under Tree, Out in Open",01/27/2018 12:00:00 AM +0000,no,Q004,Astoria Park,Q,1,100038100,Q004-DF0108,Q-01,Q004,"D, Near Ballfield, Under Tree, Out in Open",Active
C,POINT (-73.7781429804323 40.693089869594765),1171,Out in Open,02/01/2018 12:00:00 AM +0000,no,Q051,St. Albans Park,Q,1,100038509,Q051-DF0305,Q-12,Q051,"C, Out in Open",Active
Other,POINT (-73.99152089046329 40.70972577727045),2665,"In Shade, Near Ballfield",04/18/2018 12:00:00 AM +0000,no,M391,East River Waterfront Esplanade,M,1,100039989,M391-DF0470,M-01,M391,"Other, In Shade, Near Ballfield",Active
A,POINT (-73.94004501307276 40.82756364710671),2671,"Near Ballfield, In Playground",04/23/2018 12:00:00 AM +0000,yes,M014,Jackie Robinson Park,M,1,100040015,M014-DF0474,M-10,M014,"A, Near Ballfield, In Playground",Active
D,POINT (-74.03741659351324 40.62608702961401),2837,Near Ballfield,05/18/2018 12:00:00 AM +0000,,B192A,Fort Hamilton Athletic Field,B,1,100040255,B192A-DF0884,B-10,B192A,"D, Near Ballfield",Active
