FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
Other,POINT (-73.84796365350252 40.82993337500291),760,"Under Tree, In Playground",01/27/2018 12:00:00 AM +0000,yes,X148M1,Havemeyer Playground,X,1,100038120,X148M1-DF0135,X-09,X148M1,"Other, Under Tree, In Playground",Active
A,POINT (-73.77085785807303 40.68473369526063),829,Near Ballfield,01/29/2018 12:00:00 AM +0000,no,Q448,Roy Wilkins Recreation Center,Q,1,100038231,Q448-DF0114,Q-12,Q448,"A, Near Ballfield",Active
D,POINT (-73.7951884576701 40.693855615650705),1161,In Playground,02/01/2018 12:00:00 AM +0000,no,Q127,Marconi Park,Q,1,100038583,Q127-DF0298,Q-12,Q127,"D, In Playground",Active
A,POINT (-74.0906063593984 40.56887191924809),1493,Out in Open,02/07/2018 12:00:00 AM +0000,yes,R046,Franklin D. Roosevelt Boardwalk and Beach,R,1,100038793,R046-DF0036,R-02,R046,"A, Out in Open",Active
C,POINT (-73.90885126413168 40.8572902856671),1825,"Under Tree, In Playground",02/14/2018 12:00:00 AM +0000,no,X001A,Aqueduct Walk,X,1,100039285,X001A-DF0365,X-05,X001A,"C, Under Tree, In Playground",Active
CS Concrete,POINT (-73.99140235682944 40.759155398390774),2157,"In Playground, Near Ballfield, Under Tree",02/26/2018 12:00:00 AM +0000,no,M161,McCaffrey Playground,M,1,100039589,M161-DF0143,M-04,M161,"CS Concrete, In Playground, Near Ballfield, Under Tree",Active
A,POINT (-73.9804587045632 40.72654988058499),2489,"Just Outside Playground, Near Ballfield",03/12/2018 12:00:00 AM +0000,yes,M088,Tompkins Square Park,M,1,100039840,M088-DF0312,M-03,M088,"A, Just Outside Playground, Near Ballfield",Active
C,POINT (-73.7593434797583 40.657091983574176),2821,Near Ballfield,05/11/2018 12:00:00 AM +0000,no,Q392,Idlewild Park,Q,1,100040281,Q392-DF0784,Q-13,Q392,"C, Near Ballfield",Active
A,POINT (-73.92737315143519 40.68032840399418),142,"In Playground, Under Tree",01/15/2018 12:00:00 AM +0000,yes,B294,Jackie Robinson Park,B,1,100037526,B294-DF0132,B-03,B294,"A, In Playground, Under Tree",Active
E Wheelchair,POINT (-73.86486648950314 40.695622477873755),474,In Playground,01/23/2018 12:00:00 AM +0000,no,Q015,Forest Park,Q,1,100037865,Q015-DF0030,Q-16,Q015,"E Wheelchair, In Playground",Active
